#origin time,true mag,true lat,true lon,true depth,alert time,1st estimate: lat, lon, dep, mag,last estimate:lat, lon, dep, mag
2015-02-03T06:53:20.010000Z,2.46,36.41,-117.9,2.3,18.18,36.41,-117.9,8.18,2.47,36.41,-117.9,5.0,2.64
2015-04-27T03:57:38.440000Z,1.81,35.34,-118.66,1.24,28.39,35.34,-118.67,5.0,2.03,35.34,-118.67,5.0,2.04
2015-04-20T02:31:58.610000Z,2.27,34.01,-116.43,0.66,10.35,34.02,-116.44,5.0,2.19,34.02,-116.43,5.0,2.32
2015-01-31T09:01:38.820000Z,2.75,32.23,-115.3,19.05,30.34,32.2,-115.3,10.0,2.85,32.21,-115.3,10.0,2.9
2015-05-27T07:47:38.460000Z,3.0,33.96,-119.9,14.64,17.51,33.95,-119.89,15.55,3.26,33.96,-119.91,8.7,3.1
2015-05-22T05:05:58.680000Z,3.27,32.36,-115.24,27.11,15.9,32.38,-115.27,6.48,3.64,32.41,-115.25,15.3,3.34
2015-04-29T09:36:56.740000Z,3.49,37.06,-118.27,6.76,20.91,37.06,-118.27,10.0,3.25,37.08,-118.23,10.0,3.24
2015-04-22T13:23:43.160000Z,2.37,37.4,-118.5,14.43,40.56,37.45,-118.48,10.0,2.33,37.45,-118.48,10.0,2.47
2014-12-06T15:06:02.690000Z,3.32,37.38,-118.52,11.68,36.32,37.36,-118.56,5.0,3.42,37.47,-118.45,10.0,3.52
2015-01-04T03:18:09.480000Z,4.25,34.62,-118.63,8.84,11.97,34.62,-118.64,14.18,5.12,34.63,-118.62,7.27,4.47
2014-12-01T12:56:03.350000Z,1.95,35.92,-118.01,9.27,25.67,35.91,-118.0,10.05,2.06,35.91,-118.01,9.61,2.08
2015-04-29T13:42:54.640000Z,2.89,37.06,-118.28,6.26,25.3,37.08,-118.32,5.0,2.84,37.05,-118.26,5.0,2.73
