#origin time,true mag,true lat,true lon,true depth,alert time,1st estimate: lat, lon, dep, mag,last estimate:lat, lon, dep, mag
2010-08-22T11:14:11.000000Z,2.50,46.33,7.39,5.60,10.95,47.00,8.16,10.00,3.29,46.28,7.38, 5.00, 2.38
2009-05-23T16:58:26.000000Z,2.70,45.74,10.70,-3.20,25.08,45.68,10.77,10.00,2.54,45.71,10.82, 5.00, 2.71
2009-03-30T01:39:54.000000Z,2.60,47.46,7.13,21.70,15.06,47.47,7.27,5.00,2.28,47.58,7.01, 10.00, 2.61
2012-10-25T01:10:57.000000Z,3.70,46.05,6.88,11.80,14.12,46.03,6.80,10.00,3.16,46.04,6.86, 5.00, 3.59
2010-06-07T13:19:27.000000Z,2.70,46.42,8.60,7.30,14.86,46.42,8.57,10.00,2.19,46.42,8.59, 5.00, 2.37
2010-02-21T13:35:19.000000Z,2.70,45.80,10.97,12.00,21.38,45.78,11.00,10.00,2.45,45.80,11.06, 10.00, 2.63
2009-07-02T23:08:08.000000Z,2.60,46.56,9.33,6.00,14.05,46.56,9.35,5.00,1.76,46.61,9.38, 5.00, 2.23
2010-10-21T14:56:49.000000Z,2.80,45.80,10.94,-4.20,22.46,45.11,10.02,183.66,3.04,45.81,11.03, 5.00, 2.69
2013-06-08T03:06:04.000000Z,2.60,47.78,7.86,22.10,14.18,47.77,7.87,21.31,2.28,47.85,7.79, 11.27, 2.48
2010-01-31T14:22:04.000000Z,2.70,46.35,7.30,2.90,12.90,46.32,7.30,5.00,2.51,46.30,7.30, 5.00, 2.54
2010-07-09T12:11:31.000000Z,2.50,47.27,10.73,13.90,21.99,47.32,10.75,29.71,2.23,47.22,10.82, 10.00, 2.30
2011-12-03T08:32:51.000000Z,2.80,46.67,9.96,8.80,10.65,46.42,6.84,10.00,1.54,46.65,9.99, 5.00, 2.51
2009-12-08T15:43:52.000000Z,3.00,45.49,10.07,35.90,25.93,45.20,10.12,18.36,3.53,45.47,10.11, 18.11, 3.04
2012-03-16T02:31:13.000000Z,3.40,46.69,11.07,9.80,15.08,46.70,11.09,10.75,3.48,46.65,11.16, 5.00, 3.14
2009-09-11T06:34:38.000000Z,3.60,46.53,9.70,11.30,13.69,46.54,9.71,7.07,3.59,46.54,9.74, 5.00, 3.36
2011-01-08T20:48:17.000000Z,3.30,46.30,7.52,6.70,11.37,46.31,7.50,5.28,3.15,46.28,7.49, 5.00, 3.20
2009-08-12T13:52:28.000000Z,2.90,47.18,9.37,6.70,14.47,47.19,9.38,5.00,2.61,47.24,9.38, 5.00, 2.65
2009-01-04T15:30:30.000000Z,4.10,47.17,9.36,4.50,14.94,47.15,9.95,21.70,3.75,47.23,9.38, 5.00, 3.99
2012-01-01T15:33:49.000000Z,3.30,46.70,9.74,7.50,37.20,47.25,9.62,10.00,2.97,47.25,9.62, 10.00, 2.97
2010-06-21T23:50:29.000000Z,2.50,46.50,10.60,9.80,14.28,46.51,10.61,5.00,2.34,46.48,10.66, 5.00, 2.27
2009-10-21T16:10:58.000000Z,3.10,46.13,6.75,6.40,15.44,46.15,6.74,5.00,2.80,46.14,6.75, 5.00, 3.13
2009-05-05T01:39:25.000000Z,4.20,47.67,7.75,11.70,10.82,45.54,5.25,123.32,2.18,47.69,7.68, 5.00, 4.27
2013-02-25T22:19:24.000000Z,3.20,45.64,10.02,7.80,25.23,45.73,9.96,10.00,2.75,45.65,10.02, 10.00, 3.10
2009-10-12T21:56:03.000000Z,2.50,46.54,9.56,6.50,13.21,46.54,9.57,5.00,2.39,46.56,9.60, 5.00, 2.27
2009-05-09T20:54:57.000000Z,2.50,46.21,7.30,6.90,13.88,46.22,7.31,5.00,2.19,46.17,7.29, 5.00, 2.27
2011-01-08T23:32:29.000000Z,2.80,46.30,7.51,6.50,10.22,46.30,7.48,5.00,2.59,46.28,7.48, 5.00, 2.52
2009-01-19T13:12:24.000000Z,2.70,46.62,7.49,-1.60,15.04,46.60,7.50,10.00,2.16,46.61,7.44, 5.00, 2.60
2012-03-18T16:00:00.000000Z,3.30,45.79,10.96,2.30,25.22,45.76,10.99,10.00,3.00,45.82,11.05, 5.00, 3.07
2012-01-28T05:31:42.000000Z,2.60,47.97,7.26,10.00,27.64,47.99,7.23,10.00,2.29,47.93,7.23, 10.00, 2.46
2009-02-16T12:14:58.000000Z,2.60,47.13,8.40,32.30,14.80,47.13,8.38,21.64,1.89,47.16,8.40, 5.00, 2.27
2011-09-01T02:50:30.000000Z,2.50,46.34,8.55,9.30,16.06,46.33,8.53,9.36,2.07,46.32,8.56, 5.00, 2.27
2010-12-25T05:12:33.000000Z,3.30,45.95,9.90,-0.10,18.93,45.89,9.92,10.00,2.40,46.02,9.95, 5.00, 3.01
2009-01-17T07:09:57.000000Z,3.00,47.14,9.53,4.70,16.01,47.15,9.57,5.00,2.28,47.14,9.50, 5.00, 2.65
2012-05-20T22:45:51.000000Z,2.80,45.70,7.85,4.00,19.07,44.53,8.44,81.25,3.98,45.71,7.76, 5.00, 2.81
2010-08-18T15:54:30.000000Z,2.60,47.86,8.09,9.80,19.88,47.90,8.10,10.00,2.29,47.94,8.07, 5.00, 2.42
2013-03-05T01:17:41.000000Z,2.60,47.15,9.35,-1.90,9.06,47.14,9.44,5.00,1.81,47.18,9.45, 5.00, 2.12
2013-04-17T17:21:26.000000Z,2.60,47.34,9.86,-0.90,18.04,47.31,9.90,10.00,1.47,47.40,10.02, 10.00, 2.03
2009-12-31T10:49:36.000000Z,2.70,46.22,7.67,5.70,10.08,46.24,7.66,5.00,2.48,46.19,7.66, 5.00, 2.59
2009-01-23T01:18:20.000000Z,2.90,48.26,7.67,12.00,21.76,48.18,7.68,16.81,2.73,48.26,7.53, 10.00, 2.80
2011-04-21T11:36:38.000000Z,2.90,46.72,8.02,6.60,12.93,46.72,8.03,13.83,2.46,46.72,7.99, 5.00, 2.63
2013-04-06T20:49:05.000000Z,2.80,45.94,6.11,3.20,20.80,45.88,6.04,10.00,1.96,45.92,5.94, 10.00, 2.56
2011-12-27T06:29:01.000000Z,3.10,47.34,7.32,11.40,17.31,46.56,9.02,5.00,3.53,47.36,7.31, 5.00, 2.97
2010-04-04T21:16:29.000000Z,3.30,45.86,7.51,7.00,13.53,45.90,7.51,10.00,3.14,45.85,7.44, 5.00, 3.25
2012-02-24T00:32:29.000000Z,3.50,47.14,8.53,32.40,16.40,47.14,8.50,31.32,2.76,47.16,8.49, 10.06, 3.32
2012-09-04T02:51:44.000000Z,2.80,46.93,8.47,8.70,13.32,46.94,8.44,5.00,2.59,46.96,8.46, 5.00, 2.63
2011-03-30T13:01:11.000000Z,2.50,47.57,7.82,13.20,12.58,47.54,7.84,5.00,2.33,47.61,7.80, 5.00, 2.42
2012-01-02T01:42:57.000000Z,3.50,46.70,9.74,8.00,14.13,46.71,9.75,5.23,3.34,46.71,9.78, 5.00, 3.18
2013-04-06T23:15:29.000000Z,2.70,46.16,7.40,7.40,9.60,46.19,7.40,5.00,2.70,46.14,7.40, 5.00, 2.66
2010-05-01T03:48:26.000000Z,2.60,46.30,8.97,6.70,14.63,46.30,8.96,10.00,2.73,46.32,8.97, 5.00, 2.32
2011-11-01T19:22:16.000000Z,2.80,48.16,7.69,10.60,19.68,48.14,7.74,14.28,2.87,48.23,7.59, 10.00, 2.94
2010-06-30T11:53:44.000000Z,3.70,45.41,6.54,10.80,22.52,45.36,6.47,10.00,3.43,45.33,6.42, 10.00, 3.66
2013-01-02T19:55:33.000000Z,2.50,48.25,9.01,7.10,23.28,48.29,8.92,10.00,2.24,48.37,8.93, 10.00, 2.34
2010-10-25T20:00:30.000000Z,3.00,47.24,9.56,2.80,13.92,47.25,9.58,5.00,2.57,47.29,9.63, 5.00, 2.78
2012-11-28T13:32:50.000000Z,2.90,45.92,7.76,2.00,13.18,46.28,10.95,409.62,2.31,45.89,7.74, 5.00, 2.81
2009-12-12T00:17:48.000000Z,2.60,46.84,7.22,4.10,15.02,46.84,7.19,10.00,1.76,46.86,7.15, 5.00, 2.23
2012-02-11T22:45:26.000000Z,4.20,47.15,8.55,32.40,13.92,47.16,8.49,21.86,3.58,47.16,8.49, 13.15, 4.17
2012-09-04T05:13:24.000000Z,2.90,46.94,8.47,8.60,10.59,46.96,8.43,5.00,2.65,46.97,8.48, 5.00, 2.63
2012-01-29T02:27:17.000000Z,2.50,47.97,7.27,8.00,21.46,48.00,7.24,10.00,2.41,48.00,7.18, 10.00, 2.49
2010-12-06T06:41:24.000000Z,3.20,46.03,6.91,4.20,17.88,46.08,6.92,5.00,2.80,46.03,6.86, 5.00, 2.91
2009-07-10T01:06:46.000000Z,2.60,45.80,9.48,13.00,20.93,45.74,9.44,10.00,2.47,45.82,9.51, 10.00, 2.31
2009-04-02T08:54:15.000000Z,2.70,47.23,6.47,6.80,24.68,47.25,6.42,10.00,2.40,47.35,6.16, 10.00, 2.68
2009-11-02T12:14:35.000000Z,2.70,47.25,8.78,31.60,14.58,47.25,8.78,25.64,2.38,47.27,8.73, 17.39, 2.22
2012-10-12T20:41:32.000000Z,2.50,45.85,7.38,6.80,15.43,45.85,7.38,10.00,2.52,45.83,7.36, 10.00, 2.45
2013-01-05T07:46:51.000000Z,2.70,46.21,7.67,3.80,10.27,46.21,7.70,5.00,2.71,46.18,7.71, 5.00, 2.65
2012-09-18T23:43:12.000000Z,2.50,47.33,6.54,0.70,21.08,47.26,6.62,10.00,1.71,47.32,6.51, 5.00, 2.32
2009-08-19T02:04:42.000000Z,2.60,46.79,7.09,5.80,12.51,46.82,7.12,5.00,2.22,46.84,7.02, 5.00, 2.21
2010-05-11T02:13:41.000000Z,3.50,45.72,9.74,12.70,22.22,45.77,9.75,10.00,2.92,45.76,9.75, 10.00, 3.29
2012-09-20T07:59:05.000000Z,2.60,46.44,10.17,7.80,11.87,46.17,6.83,5.00,1.32,46.45,10.22, 5.00, 2.28
2009-09-26T02:47:09.000000Z,2.90,46.86,5.86,2.50,23.21,46.85,5.70,5.00,2.58,46.81,6.07, 5.00, 2.60
2013-04-20T12:21:33.000000Z,3.40,47.22,10.09,7.40,16.54,47.30,10.12,5.00,2.69,47.26,10.16, 5.00, 3.09
