#origin time,true mag,true lat,true lon,true depth,alert time,1st estimate: lat, lon, dep, mag,last estimate:lat, lon, dep, mag
2014-07-15T18:56:30.000000Z,2.5,39.7117,20.4373,10.7,49.42,39.68,20.43,10.0,2.49,39.68,20.43,10.0,2.53
2014-07-15T14:30:14.000000Z,3.1,38.1108,22.0907,60.3,36.55,38.08,22.06,29.06,3.11,38.05,22.14,5.0,3.02
2014-07-14T20:12:59.000000Z,3.2,39.6787,24.4948,31.3,59.72,39.11,25.72,136.33,3.52,39.7,24.44,10.0,2.97
2014-07-14T04:14:13.000000Z,2.5,37.7317,21.8493,21.2,43.47,37.71,21.85,10.0,2.73,37.71,21.82,10.0,2.53
2014-07-14T03:54:49.000000Z,3.1,38.1495,20.5058,18.2,38.78,38.27,20.44,10.33,3.04,38.22,20.45,10.0,3.13
2014-07-14T02:04:50.000000Z,2.2,38.3905,21.864,11.8,34.34,38.45,21.85,5.0,2.55,38.45,21.85,5.0,2.52
2014-07-13T14:03:36.000000Z,2.8,38.4917,21.607,18.1,35.62,38.46,21.61,10.0,2.84,38.42,21.63,5.0,2.81
2014-07-13T11:55:43.000000Z,3.1,40.8852,21.2423,20.7,51.04,40.79,21.28,5.0,2.84,40.74,21.48,10.0,2.85
2014-07-13T11:18:07.000000Z,3.8,40.8767,21.2405,20.4,42.79,40.85,21.16,10.0,3.75,40.88,21.27,10.0,3.58
2014-07-12T19:27:43.000000Z,3.7,36.4728,27.0805,28.3,97.82,37.02,28.74,10.0,3.64,36.71,27.79,10.0,3.42
2014-07-12T16:55:40.000000Z,2.5,38.9668,22.4833,17.9,46.4,39.05,22.4,10.0,2.57,38.44,22.71,10.0,2.7
2014-07-11T23:37:07.000000Z,2.3,38.3025,22.0515,6.2,42.51,38.38,22.25,5.0,2.72,38.38,22.25,5.0,2.72
2014-07-11T20:53:01.000000Z,3.3,36.5043,22.7875,21.8,46.06,36.67,22.69,10.0,3.13,36.91,22.21,10.0,2.91
2014-07-11T14:12:43.000000Z,2.8,40.382,25.8625,25.4,62.41,40.74,25.87,10.0,2.59,40.74,25.87,10.0,2.6
2014-07-11T10:47:01.000000Z,3.8,38.4455,23.7052,24.9,44.37,38.4,23.88,10.0,3.82,38.47,23.64,5.0,3.56
2014-07-11T10:35:26.000000Z,2.9,38.4342,23.705,24.8,44.19,38.39,23.91,10.0,3.0,38.45,23.88,10.0,2.97
2014-07-11T09:46:04.000000Z,4.4,38.4457,23.7077,25.8,37.09,38.44,23.71,10.0,4.29,38.46,23.69,5.0,4.14
2014-07-11T01:34:35.000000Z,3.2,37.2213,20.9473,15.6,40.47,37.23,20.99,10.0,3.24,37.23,21.06,10.0,3.11
2014-07-11T00:15:26.000000Z,3.0,38.806,19.6683,26.3,48.93,39.0,20.51,10.0,2.65,39.03,20.35,10.0,2.67
2014-07-10T15:03:17.000000Z,2.9,40.3825,26.0588,6.5,64.91,40.44,26.28,10.0,2.65,40.44,26.28,10.0,2.82
2014-07-10T14:30:15.000000Z,2.9,39.0898,24.2215,26.0,45.68,39.12,24.14,10.0,2.86,39.12,23.95,10.0,2.62
2014-07-10T08:15:40.000000Z,2.5,38.3147,22.093,6.5,34.43,38.32,22.04,5.0,2.71,38.35,22.02,5.0,2.58
2014-07-09T23:45:01.000000Z,3.9,40.426,26.1893,28.8,55.7,40.45,26.25,10.0,3.73,40.55,26.21,10.0,3.56
2014-07-09T21:03:15.000000Z,3.8,37.3753,20.3865,19.6,44.89,38.22,21.82,10.0,3.39,37.59,20.61,10.0,3.32
2014-07-09T06:35:55.000000Z,2.9,40.2858,23.9555,23.9,43.73,40.27,23.96,10.0,3.07,40.37,23.95,10.0,2.89
2014-07-09T02:43:13.000000Z,2.7,38.405,20.5065,12.8,52.95,38.31,20.43,10.0,2.61,38.31,20.43,10.0,2.83
2014-07-08T17:04:28.000000Z,2.8,41.2187,23.1678,23.2,50.16,41.19,23.15,10.0,2.84,41.08,23.24,10.0,2.78
2014-07-08T14:05:29.000000Z,4.0,35.923,23.5492,27.9,50.39,36.22,23.62,59.85,3.48,36.01,23.66,10.0,3.48
2014-07-07T22:20:01.000000Z,2.9,37.9587,20.6758,16.9,40.15,38.14,20.89,10.0,2.67,38.02,20.9,10.0,2.77
2014-07-07T18:56:42.000000Z,2.5,38.1745,20.3763,11.9,47.47,38.39,20.6,5.0,2.31,38.39,20.65,5.0,2.52
2014-07-07T12:27:53.000000Z,2.6,38.1598,23.9123,13.0,43.86,38.17,23.8,10.0,2.31,38.13,24.16,10.0,2.6
2014-07-07T11:00:32.000000Z,2.9,38.3542,21.7393,20.0,43.39,38.33,21.72,5.0,3.01,38.31,21.79,5.0,2.83
2014-07-07T06:08:15.000000Z,2.7,39.2158,21.7662,25.7,49.02,39.5,21.64,10.0,2.66,39.07,21.73,10.0,2.57
2014-07-06T20:17:05.000000Z,3.0,40.9608,24.0543,26.3,46.88,40.96,24.0,10.0,3.06,40.94,24.06,10.0,2.86
2014-07-06T17:19:56.000000Z,2.7,40.2853,23.9447,16.7,47.52,40.33,23.92,10.0,2.68,40.3,23.96,10.0,2.78
2014-07-05T22:03:37.000000Z,2.1,38.3307,22.0568,8.7,41.37,38.44,22.21,5.0,2.55,38.44,22.21,5.0,2.55
2014-07-05T13:28:33.000000Z,3.3,37.2103,20.7863,26.3,40.84,37.41,21.29,10.0,2.9,37.4,21.74,10.0,2.85
2014-07-04T20:02:33.000000Z,3.0,38.3397,21.7467,19.7,35.2,38.34,21.74,5.0,3.17,38.33,21.78,5.0,2.97
2014-07-03T16:24:02.000000Z,2.3,37.5687,22.098,19.9,53.77,37.18,22.23,10.0,2.59,37.18,22.23,10.0,2.61
2014-07-03T11:03:32.000000Z,2.3,38.3128,22.0575,9.9,40.93,38.32,22.08,5.0,2.49,38.32,22.08,5.0,2.5
2014-07-02T16:57:48.000000Z,2.3,38.4213,21.8358,13.2,42.08,38.7,21.97,5.0,2.54,38.71,21.98,10.0,2.52
2014-07-02T11:16:13.000000Z,2.5,38.3307,22.068,10.5,39.16,38.43,22.2,5.0,2.93,38.4,22.06,5.0,2.57
2014-07-02T03:36:02.000000Z,3.4,34.9275,25.7625,20.6,81.61,34.7,25.78,10.0,3.32,34.74,25.82,10.0,3.28
2014-07-02T01:49:24.000000Z,3.9,35.195,26.4395,31.6,82.38,34.89,26.48,10.0,3.67,35.09,26.51,10.0,3.41
2014-07-01T22:51:05.000000Z,3.0,37.6048,20.9093,16.7,39.39,37.74,21.13,10.0,2.63,37.75,21.09,10.0,2.74
2014-07-01T17:24:27.000000Z,3.1,38.8213,21.9043,21.0,46.02,38.8,21.88,10.0,2.85,38.79,21.96,5.0,2.82
2014-06-30T15:15:30.000000Z,3.1,38.7138,20.6232,11.3,75.57,38.66,20.51,5.0,3.09,38.64,20.5,5.0,3.02
2014-06-30T12:25:01.000000Z,3.7,38.7038,20.6063,9.4,53.45,38.57,20.6,5.0,3.37,38.54,20.57,5.0,3.32
2014-06-29T19:22:35.000000Z,3.2,38.8332,21.8948,22.8,35.23,38.82,21.9,10.0,3.28,38.81,21.92,5.0,3.09
2014-06-29T16:59:48.000000Z,3.6,38.8345,21.908,23.0,33.62,38.82,21.92,10.0,3.85,38.78,21.94,10.0,3.54
2014-06-29T04:39:16.000000Z,3.2,36.3122,22.0223,34.7,54.04,36.26,21.86,10.0,3.17,36.71,21.95,5.0,2.83
2014-06-29T01:57:40.000000Z,2.9,37.4517,20.8842,30.5,38.8,37.59,21.22,10.0,2.6,37.53,21.13,10.0,2.83
2014-06-29T01:15:19.000000Z,3.8,38.8252,27.1757,39.2,67.92,38.93,26.55,10.0,3.09,38.93,26.57,10.0,3.03
2014-06-29T00:13:41.000000Z,3.0,39.579,20.4237,13.7,50.04,39.72,20.42,10.0,2.9,39.69,20.31,10.0,2.88
2014-06-28T19:09:47.000000Z,3.7,37.4625,22.8515,20.0,36.64,37.47,22.86,10.0,3.76,37.44,22.87,5.0,3.49
2014-06-28T09:38:10.000000Z,2.7,37.4653,22.0562,16.4,33.28,37.51,22.16,10.0,2.89,37.48,22.08,10.0,2.84
2014-06-28T04:04:36.000000Z,3.0,38.3002,20.391,13.2,48.79,38.39,20.47,5.0,2.82,38.39,20.47,5.0,2.92
2014-06-27T16:14:27.000000Z,4.7,38.2392,25.1265,30.2,46.93,38.2,25.12,10.0,4.47,38.24,25.19,10.0,4.34
2014-06-27T00:47:23.000000Z,3.0,38.382,22.0063,14.1,29.28,38.42,22.08,5.57,3.18,38.37,21.98,5.0,2.95
2014-06-26T18:09:44.000000Z,3.0,40.7108,21.4475,21.8,49.76,40.68,21.25,10.0,2.57,40.82,22.03,10.0,2.65
2014-06-26T16:22:06.000000Z,3.9,39.6772,25.5743,30.9,46.3,39.66,25.58,10.0,3.76,39.74,25.67,10.0,3.57
