#origin time,true mag,true lat,true lon,true depth,alert time,1st estimate: lat, lon, dep, mag,last estimate:lat, lon, dep, mag
2014-03-15T18:21:46.673000Z, 2.73, -38.21, 175.82, 199.06,44.06, -38.18, 176.38, 271.51, 1.89,-38.51, 176.22, 88.44, 2.01
2014-05-29T23:52:26.464000Z, 2.56, -41.59, 174.30, 14.32,28.05, -41.59, 174.28, 8.00, 2.26,-41.62, 174.29, 21.64, 2.30
2014-03-22T14:23:11.907000Z, 2.92, -37.07, 179.38, 33.20,70.57, -37.67, 178.59, 51.88, 2.14,-37.67, 178.59, 51.88, 2.15
2014-07-06T10:08:46.777000Z, 2.53, -41.94, 173.17, 21.52,35.70, -41.93, 173.21, 10.00, 2.01,-41.93, 173.19, 7.23, 2.05
2014-03-17T09:14:14.367000Z, 2.69, -40.51, 175.78, 29.73,22.76, -38.12, 174.08, 144.74, 2.16,-38.21, 174.11, 153.12, 2.12
2014-03-16T23:56:54.580000Z, 2.82, -40.64, 175.84, 22.07,38.62, -40.67, 175.87, 23.19, 2.73,-40.65, 175.86, 28.79, 2.80
2014-02-16T13:50:18.687000Z, 5.16, -43.99, 168.20, 5.00,40.91, -44.16, 168.24, 10.00, 4.63,-44.22, 168.31, 5.23, 4.77
2014-05-04T04:16:35.315000Z, 2.70, -41.27, 174.56, 21.05,20.31, -41.28, 174.57, 23.91, 2.89,-41.27, 174.58, 27.38, 2.89
2014-03-14T12:26:50.686000Z, 2.78, -43.46, 172.78, 8.22,29.09, -43.46, 172.79, 10.00, 2.71,-43.47, 172.77, 17.07, 2.75
2014-07-11T18:01:16.435000Z, 2.64, -39.27, 177.94, 21.52,25.11, -39.15, 177.88, 22.25, 1.97,-39.22, 177.86, 16.95, 2.28
2014-06-05T06:04:51.055000Z, 2.55, -39.16, 174.77, 28.38,23.22, -40.04, 174.99, 10.00, 3.01,-39.19, 174.80, 29.61, 2.52
2014-02-12T07:47:41.949000Z, 2.72, -44.12, 169.50, 5.00,37.58, -44.00, 169.54, 10.00, 2.07,-43.79, 169.32, 5.23, 2.26
2014-07-12T19:41:16.974000Z, 3.47, -41.33, 173.03, 118.20,35.49, -41.33, 173.01, 80.16, 2.93,-41.35, 173.01, 102.03, 3.16
2014-03-20T07:35:59.465000Z, 2.88, -37.16, 177.43, 12.00,30.92, -37.31, 177.48, 10.00, 2.62,-37.42, 177.50, 13.91, 2.60
2014-03-23T17:41:47.437000Z, 2.54, -37.70, 177.55, 5.47,30.98, -36.56, 177.99, 10.00, 2.56,-37.24, 177.69, 19.06, 2.32
