#origin time,true mag,true lat,true lon,true depth,alert time,1st estimate: lat, lon, dep, mag,last estimate:lat, lon, dep, mag
2012-01-13T13:26:55.200000Z,3.1,45.07,23.55,11.4,27.8,45.09,23.54,5.56,3.31,45.06,23.54,10.0,3.45
2012-03-07T15:34:23.300000Z,3.0,44.44,26.02,11.5,22.7,44.46,26.05,5.0,2.84,44.43,26.03,5.0,2.97
2012-04-12T00:33:23.699999Z,3.5,45.69,26.56,153.2,52.300001,45.64,26.63,137.28,2.33,45.64,26.63,137.28,2.36
2012-04-16T16:39:10.099999Z,3.8,45.66,26.47,157.3,30.900001,45.74,26.44,140.55,2.29,45.74,26.44,140.55,2.29
2012-04-16T16:39:10.099999Z,3.8,45.66,26.47,157.3,32.900001,45.74,26.44,140.55,2.4,45.68,26.53,137.03,3.19
2012-04-26T14:32:40.000000Z,4.1,45.57,26.47,138.2,25.0,45.65,26.4,116.15,2.95,45.55,26.5,121.22,4.08
2012-05-05T17:07:17.600000Z,4.0,45.72,26.5,124.3,24.4,45.79,26.45,108.63,3.31,45.68,26.53,109.34,3.85
2012-05-11T17:40:12.599999Z,3.8,45.69,26.53,156.5,33.400001,45.69,26.52,129.53,2.27,45.68,26.55,128.23,2.96
2012-05-26T02:30:26.500000Z,4.0,45.76,26.7,122.3,24.5,45.89,26.74,134.36,2.84,45.75,26.74,110.1,3.76
2012-05-27T05:58:45.899999Z,3.6,45.71,26.51,89.2,25.100001,45.74,26.49,73.62,2.6,45.68,26.55,63.21,3.14
2012-06-30T18:34:53.700000Z,3.7,45.53,26.39,133.3,28.3,45.56,26.41,109.78,2.42,45.51,26.44,102.94,3.01
2012-07-06T22:48:00.600000Z,4.3,45.69,26.67,116.1,30.4,45.7,26.71,93.65,4.16,45.69,26.68,105.1,4.71
2012-07-12T02:20:24.100000Z,4.2,45.71,26.54,116.2,23.9,45.76,26.49,93.65,3.65,45.72,26.56,102.97,4.33
2012-07-13T10:42:07.700000Z,3.6,45.62,26.54,146.7,35.3,45.61,26.56,116.96,2.52,45.6,26.57,113.38,3.1
2012-07-31T09:54:15.000000Z,3.0,45.54,26.99,17.8,23.0,45.55,26.87,19.62,2.62,45.52,26.94,9.13,3.05
2012-08-08T07:59:20.600000Z,3.5,45.59,26.47,124.1,34.4,45.58,26.55,92.11,2.51,45.57,26.55,87.59,2.82
2012-08-18T10:20:39.799999Z,3.8,45.74,26.54,101.7,22.200001,45.78,26.47,85.05,2.77,45.71,26.6,80.84,3.73
2012-08-23T07:56:07.000000Z,3.0,45.37,27.21,24.7,18.0,45.34,27.19,20.09,3.07,45.36,27.21,12.84,3.41
2012-08-23T17:47:02.399999Z,3.0,45.42,24.23,5.9,32.600001,45.46,24.25,5.0,3.29,45.44,24.23,10.0,3.29
2012-08-31T20:22:05.400000Z,4.0,45.5,26.33,138.0,25.6,45.55,26.24,96.83,2.95,45.52,26.33,124.01,3.84
2012-09-04T17:39:49.399999Z,3.8,45.61,26.57,132.8,26.600001,45.67,26.55,122.97,2.8,45.59,26.58,112.79,3.21
2012-09-09T19:53:40.500000Z,4.1,45.67,26.47,153.1,26.5,45.73,26.37,120.7,2.23,45.68,26.5,138.49,3.57
