IV DOI HHZ  -- 44.504150 7.246650
IV MABI HHZ  -- 46.054920 10.514000
IV MDI HHZ  -- 45.769720 9.716000
IV MDI HLZ  -- 45.769720 9.716000
IV MONC HHZ  -- 45.073900 7.927100
IV MONC HLZ  -- 45.073900 7.927100
IV MRGE HHZ  -- 45.769750 7.061010
IV MRGE HLZ  -- 45.769750 7.061010
GU RSP HHZ  -- 45.148170 7.265330
IV SALO HHZ  -- 45.618300 10.524300
IV SALO HLZ  -- 45.618300 10.524300
IV VARE HHZ  -- 45.867695 8.770000
IV BRMO HHZ  -- 46.476000 10.373070
CH SGT00 HGZ  SF 47.423989 9.310302
MN BNI HHZ  -- 45.052000 6.678000
MN TUE HHZ  -- 46.472230 9.347320
NI CGRP HLZ  -- 45.880600 11.804700
OE WTTA HHZ  -- 47.263800 11.636300
SI ABSI HHZ  -- 46.728330 11.320280
SI BOSI HHZ  -- 46.495280 11.318610
SI KOSI HHZ  -- 46.463060 11.377780
SI MOSI HHZ  -- 46.616890 10.549440
SI RISI HHZ  -- 46.947780 12.078610
SI ROSI HHZ  -- 46.928060 11.411670
GU CIRO HHZ  -- 45.601900 7.568200
GU SATI HHZ  -- 45.875300 7.868500
GU REMY HHZ  -- 45.837800 7.156500
GU TRAV HHZ  -- 45.512670 7.747000
CH SEMOS HGZ  -- 46.067710 6.934990
GU LSD HHZ  -- 45.459500 7.134330
IV BOB HHZ  -- 44.767920 9.447820
IV BOB HLZ  -- 44.767920 9.447820
XA BHN07 HHZ  -- 27.598660 91.179690
XA BHW05 HHZ  -- 27.087120 89.540060
CH STIEG HGZ  SF 47.497800 8.654050
CH BERNI HHZ  -- 46.413636 10.023095
FR OG02 HHZ  00 46.154100 6.220200
DK ILULI HHZ  -- 69.212140 -51.104800
CH BNALP HGZ  -- 46.870490 8.425020
CH BNALP HHZ  -- 46.870490 8.425020
CH BOURR HGZ  -- 47.393770 7.230180
CH BOURR HHZ  -- 47.393770 7.230180
CH BRANT HHZ  -- 46.938010 6.472980
CH DAGMA HHZ  -- 47.230884 8.012475
CH DAVOX HHZ  -- 46.780500 9.879520
CH SIOM HGZ  -- 46.229012 7.361916
CH DIX HGZ  -- 46.080070 7.408150
CH EMBD HHZ  -- 46.216520 7.832230
CH EMMET HHZ  -- 47.437570 8.013580
CH SVAM HGZ  -- 46.693377 9.526099
CH FIESA HHZ  -- 46.435270 8.110430
CH AIGLE HHZ  -- 46.341610 6.953360
CH BIBA HGZ  -- 46.302550 7.930380
CH OTTER HGZ  -- 47.577800 7.603800
CH SAUR HGZ  -- 47.533900 7.722800
CH LIENZ HGZ  -- 47.294600 9.492700
CH LIENZ HHZ  -- 47.294600 9.492700
CH LLS HGZ  -- 46.846760 9.008250
CH LLS HHZ  -- 46.846760 9.008250
CH METMA HHZ  -- 47.712170 8.252620
CH MMK HGZ  -- 46.050530 7.963990
CH MMK HHZ  -- 46.050530 7.963990
CH MUGIO HHZ  -- 45.921860 9.041670
CH MUO HHZ  -- 46.967650 8.637060
CH PLONS HHZ  -- 47.049210 9.380700
CH ROTHE HHZ  -- 47.476120 7.920930
CH SENIN HGZ  -- 46.363350 7.299300
CH SENIN HHZ  -- 46.363350 7.299300
CH SBEG HGZ  -- 47.570900 7.664500
CH SIMPL HHZ  -- 46.239620 8.019580
CH SBAF HGZ  -- 47.583750 7.592020
CH SBAP HGZ  -- 47.572400 7.564400
CH SBAT HGZ  -- 47.558600 7.581700
CH SBIS2 HGZ  -- 47.541100 7.583500
CH SCEL HGZ  -- 46.507400 9.855420
CH SCOU HGZ  -- 46.854000 7.103700
CH SCUC HGZ  -- 46.798000 10.303800
CH SFRA HGZ  -- 47.503580 7.709110
CH SIOO HGZ  -- 46.232800 7.383200
CH SIOV HGZ  -- 46.235100 7.364230
CH SKAF HGZ  -- 47.538400 7.719900
CH SMUK HGZ  -- 46.286300 6.940600
CH SMUR HGZ  -- 46.277200 6.920500
CH SMZW HGZ  -- 47.547600 7.647300
CH SRHB HGZ  -- 47.571300 7.624400
CH STAF HGZ  -- 46.805200 7.216100
CH STSP HGZ  -- 46.626620 10.333220
CH SZER HGZ  -- 46.697490 10.097680
CH SBUB HGZ  -- 47.145928 9.434239
CH SVIL HGZ  -- 46.292250 7.886530
CH SVIO HGZ  -- 46.290800 7.880330
CH SVIT HGZ  -- 46.289679 7.884962
CH SGRA HGZ  -- 46.193636 7.835612
CH SLUW HGZ  -- 47.046310 8.317860
CH SNIB HGZ  -- 46.177142 7.802367
CH SRER HGZ  -- 47.511552 7.597904
CH DIX HHZ  -- 46.080070 7.408150
CH SLTM2 HGZ  -- 46.923580 9.000898
CH SCHS HGZ  -- 47.711436 8.636507
CH SBUA2 HGZ  -- 47.159105 9.471021
CH SYVP HGZ  -- 46.774710 6.641752
CH SEPFL HGZ  -- 46.521239 6.565748
CH SCUG HGZ  -- 46.856125 9.523831
CH SOLB HGZ  -- 47.206835 7.517052
CH SLUB HGZ  -- 47.057919 8.305480
CH SGEV HGZ  -- 46.200620 6.136760
CH SOLZ HGZ  -- 47.208825 7.538306
CH STGK HGZ  -- 47.424125 9.378490
CH SAIG HGZ  -- 46.317240 6.966600
CH SARK HGZ  -- 46.891400 8.243160
CH SBRS HGZ  -- 46.316930 7.981390
CH SINS HGZ  -- 46.686920 7.864140
CH SBUH HGZ  -- 47.172560 9.474050
CH SIEB HGZ  -- 46.295430 7.535070
CH SALTS HGZ  -- 46.882040 8.638210
CH SMAO HGZ  -- 46.098890 7.074770
CH SZUZ HGZ  -- 47.377497 8.530235
CH SLOP HGZ  -- 46.163840 8.790550
CH SBERN HGZ  -- 46.945820 7.439540
CH FUORN HHZ  -- 46.620220 10.263520
CH OTER1 HGZ  -- 47.577680 7.603710
CH OTER1 HHZ  -- 47.577680 7.603710
CH NALPS HHZ  -- 46.595121 8.748280
CH SGT01 HHZ  -- 47.431685 9.318545
CH SGT02 HHZ  -- 47.513291 9.247928
CH SGT03 HHZ  -- 47.365551 9.199445
CH SGT04 HHZ  -- 47.348435 9.349025
CH SGT05 HHZ  -- 47.441856 9.455951
GU LSD HLZ  -- 45.459500 7.134330
